t	w	U	I	alpha
0.5	9.954556749	9.99	0.019936967	8.047949662
0.501	9.954752341	9.99	0.019671224	8.067444194
0.502	9.954945326	9.99	0.019409024	8.086939107
0.503	9.955135738	9.99	0.019150319	8.106434395
0.504	9.955323613	9.99	0.018895062	8.125930053
0.505	9.955508983	9.99	0.018643207	8.145426077
0.506	9.955691882	9.99	0.01839471	8.164922462
0.507	9.955872344	9.99	0.018149524	8.184419202
0.508	9.9560504	9.99	0.017907607	8.203916294
0.509	9.956226083	9.99	0.017668914	8.223413731
0.51	9.956399424	9.99	0.017433403	8.242911511
0.511	9.956570454	9.99	0.017201031	8.262409628
0.512	9.956739205	9.99	0.016971756	8.281908077
0.513	9.956905707	9.99	0.016745538	8.301406855
0.514	9.957069989	9.99	0.016522334	8.320905956
0.515	9.957232082	9.99	0.016302106	8.340405377
0.516	9.957392014	9.99	0.016084813	8.359905114
0.517	9.957549814	9.99	0.015870417	8.379405161
