t	w1	w2	w3	w4
0.418	7.807326677	8.038616498	8.072470921	8.075677594
0.419	7.809593098	8.039111317	8.07253404	8.075679395
0.42	7.811840382	8.03959954	8.07259594	8.075681144
0.421	7.81406869	8.040081256	8.072656644	8.075682842
0.422	7.816278182	8.040556551	8.072716177	8.075684491
0.423	7.818469018	8.041025511	8.07277456	8.075686092
0.424	7.820641356	8.04148822	8.072831815	8.075687646
0.425	7.82279535	8.041944762	8.072887965	8.075689156
0.426	7.824931157	8.042395218	8.072943031	8.075690621
0.427	7.827048929	8.04283967	8.072997033	8.075692044
0.428	7.829148819	8.043278198	8.073049993	8.075693426
0.429	7.831230978	8.04371088	8.07310193	8.075694768
0.43	7.833295556	8.044137796	8.073152864	8.075696071
0.431	7.835342702	8.044559021	8.073202814	8.075697335
0.432	7.837372561	8.044974631	8.0732518	8.075698564
0.433	7.839385281	8.045384702	8.07329984	8.075699756
0.434	7.841381006	8.045789307	8.073346953	8.075700914
0.435	7.843359879	8.046188518	8.073393156	8.075702038
0.436	7.845322043	8.046582409	8.073438466	8.07570313
0.437	7.847267639	8.046971049	8.073482902	8.07570419
0.438	7.849196807	8.04735451	8.073526479	8.075705219
0.439	7.851109686	8.047732859	8.073569215	8.075706218
0.44	7.853006412	8.048106165	8.073611126	8.075707189
0.441	7.854887123	8.048474495	8.073652228	8.075708131
0.442	7.856751954	8.048837915	8.073692535	8.075709046
0.443	7.858601038	8.049196492	8.073732065	8.075709934
0.444	7.860434509	8.049550289	8.073770831	8.075710796
0.445	7.862252499	8.04989937	8.073808849	8.075711634
0.446	7.864055138	8.050243798	8.073846132	8.075712447
0.447	7.865842556	8.050583635	8.073882696	8.075713236
0.448	7.867614881	8.050918943	8.073918553	8.075714003
0.449	7.869372241	8.051249781	8.073953718	8.075714747
0.45	7.871114763	8.05157621	8.073988205	8.07571547
0.451	7.872842571	8.051898287	8.074022025	8.075716172
0.452	7.87455579	8.052216072	8.074055192	8.075716853
0.453	7.876254542	8.05252962	8.074087718	8.075717515
0.454	7.877938951	8.05283899	8.074119617	8.075718157
0.455	7.879609137	8.053144235	8.0741509	8.075718781
0.456	7.88126522	8.053445412	8.074181578	8.075719386
